Korpusglosa,Lexikonglosa,ID
IALLAFALL[AB],,
I-BAKHUVUDET[AB],HA-I-BAKHUVUD(Lb),10611
IBLAND(L)[AB],IBLAND(J+L),03026
IBLAND(L)[AB],IBLAND(J+L:),07829
IBLAND(Lvt)[AB],IBLAND(7v),03279
IDAG[AB],I(II)@b^DAG(JJ),04485
I@b^DAG[AB],I@b^DAG(J),08368
IDE[NN],IDE(I),02588
IDE[NN],IDE(L),07611
IDENTIFIERA-MED[VB],IDENTIFIERA-SIG-MED(88),04247
IDROTT[NN],IDROTT(BB+växel),02519
IDROTT[NN],IDROTT(BB+slås),14258
IDROTTA[VB],,
IFALL[KN],IFALL(J+L+vrids),02625
IFALL[KN],IFALL(J+L),03024
IFJOL[AB],IFJOL(L),01576
IDIOT[VBS],SKULLE-INTE-GJORT(4),00797
IDIOT[VBS],IDIOT(L),02551
IDIOT[VBS],IDIOT(7a),03315
IDIOTISK[VBS],IDIOTISK(4),00800
IGEN[AB],IGEN(VV),03176
IGEN[AB],IGEN(VL),07875
IGEN[AB],IGEN(VV+mot),10693
IHOP[AB],IHOP(SS),05819
IKAPP[AB],KOMMA-IKAPP(B+B),02426
ILLA[AB],ILLA(V),04118
ILLA[AB],ILLA(I),04464
ILLA[AB],ILLA(I+m),08358
IMORGON[AB],IMORGON(L),02690
IMPONERA[VB],IMPONERAD(LL),07889
IMPORTERA[VB],IMPORTERA(77b),03751
IMPORTERA[VB],IMPORTERA(QQ),08078
IN@b[VB],IN@b,08984
INDIVIDUELL[VBS],INDIVIDUELL(JJvt),08509
INDIVIDUELL[VBS],INDIVIDUELL(L),10889
INDIVIDUELL(B)[VBS],INDIVIDUELL(B:),10890
INFORMATION[NN],,
INFORMERA[VB],INFORMERA(O^OO+ned),01762
INFORMERA[VB],INFORMERA(O^OO+upp),07349
INGEN[PN],INGEN(JJ),10029
INGENTING[PN],,
INGÅ[VB],INGÅ(J+I),08360
INHALERA[VB],INHALERA(B),12930
INHALERA[VB],INHALERA(8b),12929
INITIAL[NN],,
INKLUDERA[VB],INKLUDERA(J+I),07295
INNAN[KN],INNAN(J+J),00299
INNE[AB],INNE(J+N),07517
INNEBANDY[NN],INNEBANDY(Q),14282
INNEBANDY.SPELA[VB],,
INNEBÄRA[VB],INNEBÄRA(J+I),04478
INNEHÅLL[NN],INNEHÅLL(J+I),11384
INOM[PP],INOM(J+I),04481
INOM[PP],INOM(I),08362
INPUT[NN/VB?],,
INREDA[VB],,
INRIKTNING(da)[NN],INRIKTNING(JJ),09006
INRIKTNING(ml)[NN],,
INSATS[NN],INSATS(A),01278
INSEKT-STICKA[VB],,
INTE[AB],INTE(JJ),00646
INTEGRATION[NN],INTEGRATION(JJ),00734
INTEGRERA[VB],,
INTENSIV[JJ],,
INTERNAT[NN],INTERNAT(J/A),12306
INTERNAT[NN],INTERNAT(A/J),08998
INTERNATIONELL[NN],INTERNATIONELL(NN),04026
INTERNET[NN],INTERNET(44),08461
INTERVJUA[VB],,
INTRESSE[NN],INTRESSERAD(JJ),00532
INTRESSERAD[INTERJ],,
INTRESSERAD[VBS],,
INTRESSERAD-AV[VBS],,
INTRESSERAD-INTE[VBS],,
INTRYCK[NN],INTRYCK(55),07873
INTRÄDE[NN],INTRÄDE(J+L),07459
INUTI[VBPP],INUTI(huvud),04463
INUTI[VBPP],INUTI(bröst),04466
INUTI[VBPP],INUTI(I),08979
INUTI[VBPP],INUTI(I+hö),15783
INVANDRARE[NN],INVANDRARE(55),01074
IRRITERAD[VB],IRRITERAD(5b),01526
IRRITERAD[VB],IRRITERAD(LL),03089
IRRITERAD[VB],IRRITERAD(L),13826
ISHOCKEY[NN],ISHOCKEY(GG),02284
ISOLERAD[JJ/VBS?],ISOLERING(GG) ,02185
ISOLERAD[JJ/VBS?],ISOLERA(J+I),04482
ISOLERAD[JJ/VBS?],ISOLERA(J+L),08364
ISOLERING[NN],ISOLERING(GG) ,02185
ISOLERING[NN],ISOLERA(J+I),04482
ISOLERING[NN],ISOLERA(J+L),08364
ISTÄLLET[AB],ISTÄLLET(LL),03211
IVRIG[VBS],IVRIG(Vb),04349
I@b^DAG[AB],I@b^DAG(J),08368
JA@b[INTERJ],JA@b,09027
JA@ub[INTERJ],JA(:)@b,11810
JAGA[VB],JAGA(BB+vrids),02514
JAGA[VB],JAGA(BB),02518
JAGA-DJUR[VB],,
JASÅ[INTERJ],JASÅ(8+mun),04324
JASÅ[INTERJ],JASÅ(8),12112
JASÅ[INTERJ],JASÅ(8:),08294
JOBB[NN],JOBB(G+G),04919
JOBBA[VB],JOBBA(G+G),02063
JOBBIG[JJ],JOBBIG(G+G),02058
JORD(Jb)[NN],,
JORD(Jt)[NN],JORD(J+Jt),01431
JUBILEUM[NN],JUBILEUM(QQ),03927
JUDE[NN],JUDE(V),06908
JUL[NN],JUL(7a),06912
JULI@b[NN],JULI@b,08252
JUNI@b[NN],JUNI@b,08253
JUNIOR[NN],JUNIOR(Jvt),08510
JURIDIK[NN],,
JUST[AB],JUST(HH),02658
JÄMFÖRA[VB],JÄMFÖRA(JJ),00640
JÄMLIK[VBS],JÄMLIK(Jvt+Jvt),01161
JÄMN[VBS],JÄMN(J+J),00428
JÄMN[VBS],JÄMN(JJvt),10899
JÄMT[AB],,
JÄRN[NN],JÄRN(Lb),03507
JÄTTE[AB],JÄTTE(G),02210
JÄTTESTOR(It)[JJ],JÄTTESTOR(YY),01702
JÄTTESTOR(S)[JJ],JÄTTEMYCKET(5b),05708
JÄVLAR[INTERJ],JÄVLA(V),04072
JÄVLAR[INTERJ],JÄVLA(J+V),04206
JÄVLAR[INTERJ],JÄVLAR(V),08574
KAFFE[NN],KAFFE(G+G),02042
KAFFE(F)[NN],,
KALL[JJ],KALL(5b),01505
KALL.MYCKET[JJ],,
KALLA[VB],KALLAS(VV),04934
KALLA-PÅ[VB],KALLA-PÅ(J),05601
KALLA-PÅ[VB],KALLA-PÅ(LL),02389
KALLA-PÅ[VB],KALLA-PÅ(L),07551
KALSONG[NN],,
KAMRAT[NN],KAMRAT(SS),01476
KAN[VB],KAN(J),00022
KANAL[NN],KANAL(7b),04935
KANONSKOTT[VB],,
KANSKE[AB],KANSKE(LL),03187
KAN*INTE[VB],KAN*INTE(J^JJ),02391
KAN*INTE[VB],KAN*INTE(J),07554
KAOS[NN],KAOS(5b+5b),10638
KAPA[VB],,
KAPTEN[NN],KAPTEN(öarm+V),04136
KAPTEN[NN],KAPTEN(J+V),04145
KAPTEN[NN],KAPTEN(Bridge)(V),10903
KARL.PL[NN],,
KARRIÄR[NN],KARRIÄR(J+L),03016
KARTA[NN],,
KASSÖR[NN],KASSÖR(JJ+mot),00570
KASSÖR[NN],KASSÖR(JJ+fram),05266
KASSÖR(Yb)[NN],KASSÖR(55b),01719
KASTA[VB],KASTA(O),01784
KATASTROF[NN],KATASTROF(55b>G),01688
KATASTROF[NN],KATASTROF(OO>5),03652
KATASTROF[NN],KATASTROF(5b+5b),03631
KATASTROF[NN],KATASTROF(GG),07327
KATOLIK[NN],,
KATT[NN],KATT(J+J),00344
KAVLA-UPP[VB],,
KEMI[NN],KEMI(HH),04589
KILLE[NN],KILLE(L),05831
KILOGRAM[NN],KILOGRAM(GG),00637
KJOL[NN],KJOL(JJ),00553
KLAGA[VB],KLAGA(LL),03078
KLAGA[VB],KLAGA(L),07846
KLAR[JJ],KLAR(55),01058
KLAR[JJ],KLAR(J+J),04126
KLARA[VB],KLARA-AV(55),11794
KLARA-SIG(da)[VB],KLARA-SIG(55),01043
KLARA-SIG(ml)[VB],KLARA-SIG-UNDAN(J+J),00349
KLASS[NN],KLASS(SS),01463
KLASS[NN],KLASS(SS+kontakt),05660
KLIA[VB],KLIA(J+5b),01628
KLICKA[VB],,
KLIMAT[NN],,
KLIPPA[VB],KLIPPA(G+G),13888
KLOCKA[NN],KLOCKA(J),00286
KLOCKA-GÅ[VB],,
KLOCKPERIOD.DYGN[AB?],,
KLOCKPERIOD.EFTERMDEL[AB?],EFTERMIDDAG(J+J),00490
KLOCKPERIOD.KVÄLLDEL[AB?],,
KLOCKPERIOD.NATTDEL[AB?],,
KLOCKTID+[AB?],,
KLOK[JJ],KLOK(Lb),03471
KLUBB[NN],KLUBB(77b),03749
KLUMPIG[JJ],KLUMPIG(Y),04500
KLUMPIG[JJ],KLUMPIG(J+Y),04506
KLÄDD@kl[NNKL],,
KLÄDER[NN],KLÄDER(55+in),00954
KLÄDER[NN],KLÄDER(55+upp),05417
KLÄTTRA[VB],KLÄTTRA(55b),08986
KLÄ-AV[VB],KLÄ-AV(55),00946
KLÄ-PÅ[VB],KLÄ-PÅ.ÖVERDEL(GG),16289
KLÄ-PÅ.HANDDEL[VB],KLÄ-PÅ.HANDDEL(J+G),16302
KLÄ-PÅ.HUVUDDEL[VB],KLÄ-PÅ.HUVUDDEL(GG),16288
KLÄ-PÅ.NEDERDEL[VB],KLÄ-PÅ.NEDERDEL(QQ+slås),16300
KLÄ-PÅ.NEDERDEL[VB],KLÄ-PÅ.NEDERDEL(GG),16301
KLÄ-PÅ.ÖVERDEL[VB],KLÄ-PÅ.ÖVERDEL(GG),16289
KLÄ-PÅ.ÖVERDEL[VB],KLÄ-PÅ.ÖVERDEL(GG+ner),16299
KNAPP(Lbs)[NN],KNAPP(7a),03366
KNAPP(Vbt)[NN],KNAPP(8b),04709
KNAPPA-FJÄRRKONTROLL[VB],,
KNAPPA-MOBILTELEFON[VB],,
KNAPPA-MOBILTELEFON(L)[VBAV],,
KNAPPA-TANGENTBORD(L)[VB],,
KNARK[NN],KNARK(8),04316
KNIV[NN],KNIV(L+L),02925
KNIV[NN],KNIV(L+7v),03297
KNIV[NN],KNIV(N+N),07779
KNUFFA[VB],,
KNULLA[VB],KNULLA(88),05838
KNYTA[VB],KNYTA(77b),03755
KNÄ@b[NN],KNÄ@b,13481
KNÄBÖJA(V)[VB],,
KO[NN],KO(LL),03058
KO[NN],KO(L),07836
KO[NN],KO(77),15484
KOLLEGA[NN],KOLLEGA(SS),14710
KOLLEKTIV()+FÖRFLYTTA@p[VBAV],(POLY-KOLLEKTIV),08708
KOLLIDERA[VB],KROCKA(GG),14984
KOLLO[NN],,
KOMBINERA[VB],,
KOMMA[VB],KOMMA-FRAM-1(Jvt),00281
KOMMA(L).DIT[VBAV],,
KOMMA(Lb).DITVB],,
KOMMA(Yb).DIT[VB],,
KOMMA-EFTERKÄLKE[VB],LIGGA-EFTER(B+B),08832
KOMMA-FRAM[VB],KOMMA-FRAM(J+J),00307
KOMMA-FRAM-TILL[VB],,
KOMMA(L).HIT[VBAV],,
KOMMA(Lb).HIT[VB],,
KOMMA(Yb).HIT[VB],,
KOMMA-IFATT[VB],,
KOMMA-IHÅG[VB],KOMMA-IHÅG(G),01914
KOMMA-IN[VB],KOMMA-IN(I>N),02066
KOMMA-PÅ[VB],KOMMA-PÅ(L),02589
KOMMA-PÅ-IDÉ[VB],KOMMA-PÅ(L>5),07870
KOMMUN[NN],KOMMUN(J+5b:),01603
KOMMUN[NN],KOMMUN(J+5b),07239
KOMMUNICERA[VB],,
KOMMUNICERA-PAPPER-PENNA[VB],,
KOMMUNIKATION[NN],KOMMUNIKATION(LL),05840
KOMMUNIKATION[NN],KOMMUNIKATION(SS),11408
KOMMUNISM[NN],,
KOMPASS[NN],KOMPASS(S),01411
KOMPASS[NN],KOMPASS(J+L),02935
KOMPASS[NN],KOMPASS(J+L+upp),07781
KOMPENDIUM@kl[NNKL],,
KOMPETENS[NN],KOMPETENS(Jvt),00161
KOMPIS[NN],KOMPIS(BB),02531
KOMPIS.PL[NN],,
KONDITION[NN],KONDITION(JJ),00526
KONDITION[NN],KONDITION(55),14350
KONFERENS[NN],KONFERENS(LL),03074
KONGRESS[NN],KONGRESS(77b),03762
KONKURRERA[VB],,
KONSEKVENS[NN],KONSEKVENS(J+O),01817
KONSERVATIV[JJ],KONSERVATIV(LL),15038
KONSERVATIV[JJ],KONSERVATIV(J+S),15039
KONST[NN],KONST(N),03966
KONSTIG[JJ],KONSTIG(J+L),04882
KONSTIG[JJ],KONSTIG(L),07794
KONSTRUERA[VB],KONSTRUERA(AA),10663
KONSULENT[NN],KONSULENT(8b+vä),01530
KONSULENT[NN],KONSULENT(5b),04833
KONSULENT[NN],KONSULENT(8b+hö),05733
KONTAKT[NN],KONTAKT(NN),04255
KONTAKTA[VB],,
KONTANT[NN],KONTANT(J+A),01308
KONTANT[NN],KONTANT(B^J+B),02322
KONTANT[NN],KONTANT(J+B),05792
KONTOR[NN],KONTOR(J+N),03982
KONTRAKT[NN],KONTRAKT(N^J+N),03130
KONTRAKT[NN],KONTRAKT(J+N),10920
KONTRAST[NN],KONTRAST(LL),03105
KONTROLL[NN],,
KONTROLLERA[VB],KONTROLLERA(Vb^G+Vb),08323
KOPIERA[VB],KOPIERA(J+Jt+upp),00889
KOPIERA[VB],KOPIERA(J+7b),00574
KOPIERA[VB],KOPIERA(J+Jt+ner),05399
KOPPLA-AV[VB],KOPPLA-AV(Q),03771
KOPPLA-AV[VB],KOPPLA-AV(QQ>5),08087
KOPPLA-IHOP[VB],KOPPLA-IHOP(Lb+Lb),03550
KORG[NN],KORG(55b),01680
KORRIDOR[NN],KORRIDOR(JJ),02610
KORS[NN],KORS(7b),03643
KORS[NN],KORS(LL),06956
KORT[NN],KORT(77b),09499
KORT[NN],KORT(77b>7a),03757
KORT[NN],KORT(7b+upp),14362
KORT[NN],KORT(S+slås),15773
KORT-TID(L)[AB],KORT-TID(G+L),13135
KORT-TID(Y)[AB],KORT-TID(G+5),13083
KORTVARIG(J)[AB],KORT(JJ),00602
KORTVARIG(L)[AB],,
KORTVÄXT[VBS],LITEN(J),00256
KOSTA[VB],KOSTA(A),01281
KOSTA[VB],KOSTA(J+A),01300
KOSTA[VB],KOSTA(J+J),05586
KOSTYM[NN],KOSTYM(BB+ner),02475
KOSTYM[NN],KOSTYM(BB:),03626
KOSTYM[NN],KOSTYM(JJ),07594
KOSTYM[NN],KOSTYM(BB+upp),10699
KRAMA[VB],KRAM(JJvt),00523
KRAMP[NN],KRAMP(SS),08527
KRAMP[NN],KRAMP(55),13578
KRAV[NN],KRAV(L),10928
KRIG[NN],KRIG(44+slås),00974
KRIG[NN],KRIG(55:),04668
KRIG[NN],KRIG(55+slås),05448
KRIS[NN],KRIS(55b),04535
KRITERIUM[NN],,
KRITISERA[VB],KRITISERA(Lb),16260
KROKNA[VB],,
KRONA[NN],KRONA(5b+upp),01480
KRONA[NN],KRONA(5b+ner),05662
KRONA+ [NN],,
KROPP[NN],KROPP(55),05846
KRUMELUR[NN],,
KRYMPA-IHOP[VB],,
KRYPA[VB],KRYPA(JJ),01017
KRYSS[NN],KRYSS(X),07509
KRYSS[NN],KRYSS(L+L),08190
KRYSS[NN],KRYSS(X+upp-r),14370
KRÄKAS[VB],,
KRÄVA[VB],KRÄVA(L),10930
KULTUR[NN],KULTUR(L),02606
KUNG[NN],KUNG(5b),01481
KUNG[NN],KUNG(5b+ut),05663
KUNG[NN],KUNG(5b+spel),10931
KUNNA[VB],KUNNA(J),05045
KUNSKAP[NN],KUNSKAP(J),04873
KURATOR(Lvt)[NN],KURATOR(7v),13719
KURS[NN],KURS(AA),01259
KURS[NN],KURS(A),05563
KUSIN(I)[NN],KUSIN(II),04483
KUSIN(L)[NN],KUSIN(LL),03155
KVADRAT[NN],KVADRAT(LL),03696
KVADRAT[NN],KVADRAT(J+7b),11254
KVADRAT[NN],KVADRAT(J+8b),12592
KVADRAT[NN],KVADRAT(77b),16265
KVALITE[NN],KVALITE(AA),11432
KVAR[AB],KVAR(JJ),12274
KVAR.STANNA[VBS],STANNA(JJ:),00684
KVAR.STANNA[VBS],STANNA-KVAR(JJ),05295
KVARBLIVEN[VB],STANNA(JJ:),00684
KVART[NN],KVART(J+L),04976
KVART*I@b[AB],KVART(I)^I@b,08898
KVINNA[NN],KVINNA(Jvt),01106
KVINNA.PL[NN],KVINNOR(Jvt),06756
KVITTA[VB],VARA-KVITT(J+L),07848
KVÄLL[NN],KVÄLL(JJ),00514
KVÄLL[NN],KVÄLL(S^),01366
KVÄLL[NN],KVÄLL(J+ner),04828
KVÄLL[NN],KVÄLL(J),05238
KVÄLL[NN],KVÄLL(S+ner),05617
KVÄLL.PL[NN],,
KYRKA[NN],KYRKA(55),06973
KYRKA[NN],KYRKA(55:+fram),06975
KÄBBLA[VB],KÄBBLA(LL),07662
KÄLLARE[NN],KÄLLARE(L),02867
KÄMPA(Ao)[VB],KÄMPA(Jt+m),00756
KÄMPA(Ao)[VB],KÄMPA(Jt),05331
KÄMPA(G)[VB],KÄMPA(J+G),02045
KÄND[JJ],KÄND(L+m),02677
KÄND[JJ],KÄND(L),07691
KÄND@b[JJ],KÄND@b,01855
KÄNNA[VB],KÄNNA(N+N),04004
KÄNNA-INTE[VB],OKÄND(N+N),04003
KÄNNA-MED-HÄNDER[VB],,
KÄNNA-OLUST[VB],MOTVILLIG(4),00828
KÄNNA-SIG[VB],KÄNNA-PÅ-SIG(5),12034
KÄNNA-SIG[VB],KÄNNA-PÅ-SIG(55),08956
KÄNNA*IGEN[VB],,
KÄNNA*INTE*IGEN[VB],,
KÄNSLIG[JJ],KÄNSLIG(J+J),10038
KÅT[VBS],KÅT(J+[s]),00131
KÅT[VBS],KÅT(J),05853
KÅT[VBS],KÅT(J>Jvt:),06050
KÖ[NN],KÖ(5+5),00910
KÖ.BILDA[VB],,
KÖ.FÖRFLYTTA[VB],,
KÖ.GÅ[VB],,
KÖ.STÅ[VB],,
KÖK[NN],KÖK(Q^Q),03784
KÖK[NN],KÖK(uarm+Q),03809
KÖK[NN],KÖK(Q),03833
KÖPA[VB],KÖPA(J+A:),01301
KÖPA[VB],KÖPA(7b>Q),00904
KÖPA[VB],KÖPA(J+Jvt>A),00935
KÖPA[VB],KÖPA(J+J:),05587
KÖPT[VB],,
KÖRA.RATT[VB],KÖRA(GG+växel),02160
KÖRA.SKJUTS[VB],KÖRA(GG+fram),02273
KÖRKORT[NN],KÖRKORT(77b),03741
KÖTT[NN],,
LADDA-IN[VB],,
LAG(L)[NN],LAG(J+L),10933
LAG(S)[NN],LAG(SS),08531
LAG(S)[NN],LAG(55b),08730
LAGA[VB],LAGA(G+G),02064
LAGA-MAT[VB],LAGA-MAT(J+Q),03785
LAGA-MAT[VB],LAGA-MAT(Q^J+Q),08089
LAMPA[NN],LAMPA(O),01786
LAMPA.FORDON[NN],STRÅLKASTARE(OO),05327
LAMPA.FORDON[NN],STRÅLKASTARE(O),08521
LAND[NN],LAND(J+J),00416
LAND.PL[NN],,
LANDA[VB],LANDA(J+Y),04536
LANDET[NN],LANDET(J+J),00418
LANDSLAG[NN],LANDSLAG(7o),03367
LANDSLAG[NN],LANDSLAG(7b),03627
LANDSLAG[NN],LANDSLAG(7o+hö),05967
LAPP[NN],LAPP(77b),15942
LAPTOP[NN],LAPTOP(J+ner+J),05694
LAPTOP[NN],LAPTOP(J+upp+J),08564
LARM[NN],LARM(Lb),03479
LARM[NN],LARM(J+upp+Lb),13724
LASTBIL[NN],LASTBIL(B),02393
LAT[VBS],LAT(5+5),00981
LE[VB],LE(LL),03066
LE[VB],LE(L),07841
LEDA[VB],LEDA-NÅGON(JA),01706
LEDA(B)[VB],LEDA(J+B),15305
LEDA(B)[VB],LEDA(B),15306
LEDA-TILL[KN],LEDA-TILL(J+O>5),01818
LEDAMOT[NN],LEDAMOT(B+B),02415
LEDAMOT[NN],LEDAMOT(B+B+mot),07567
LEDARE[NN],LEDARE(J+B),02454
LEDARE[NN],LEDARE(B+B),07585
LEDIG[JJ],LEDIG(LL),03088
LEDIG[JJ],LEDIG(88),04890
LEDIG[JJ],LEDIG(77),07847
LEDNING[NN],,
LEDSEN[JJ],LEDSEN(J),00185
LEJON[NN],LEJON(55b),01639
LEKA[VB],LEKA(Jvt),01092
LEKTION[NN],LEKTION(J+L),03018
LETA[VB],LETA(Vb),04998
LEVA[VB],LEVA(55+vrids),01040
LEVA[VB],LEVA(55+fram),05706
LEVA[VB],LEVA(55),05441
LICENS[NN],LICENS(S),15921
LIDA[VB],,
LIFTA[VB],LIFTA(B+upp),02399
LIFTA[VB],LIFTA(B+ner),07557
LIGGA[VB],LIGGA(J+J),00411
LIGGA[VB],LIGGA(J+N),08257
LIGGA(VV)[VB],,
LIGGA-LIKA[VB],,
LIGGA-PÅ-LATSIDAN[VB],,
LIGGA-SÖMNLÖS[VB],SÖMNLÖS(J+V),10519
LIK[JJ],LIK(VV),04262
LIKA[AB],,
LIKA-FÖR-ALLA[AB],,
LILLA[JJ],LITEN-LILLA(L),12500
LIMMA[VB],LIMMA(J+J),00482
LINBANA[NN],,
LINDA[VB],,
LINGVISTIK[NN],LINGVISTIK(77),11446
LINJE[NN],LINJE(J+J),00405
LISTA(Jv)[NN?],LISTA(J+Jvt),01167
LISTA(Y)[NN?],LISTA(4+4),09142
LISTBOJ.[BOJ],(boj),00645
LITE[AB],LITE(7b>7o),01701
LITE.MYCKET[JJ],,
LITEN(J)[JJ],LITEN(JJ),00604
LITEN(L)[JJ],LITEN(L),02724
LITEN-PERSON[JJ],LITEN(J),00256
LITEN-PERSON@kl[NNKL],LITEN(J),00256
LITER[NN],LITER(JJvt),01217
LITTERATUR[NN],LITTERATUR(JJ),15923
LIV[NN],LIV(55),01038
LJUD[NN],LJUD(4),00827
LJUGA[VB],LJUGA(V),04127
LJUGA[VB],LJUGA(5),08233
LJUS[NN],LJUST(JJ),00512
LJUS[VBS],,
LOCKA[VB],LOCKA(LLb),03572
LOCKA[VB],LOCKA(L),07865
LOCKIG[JJ],LOCKIG-HÅR(L),02681
LOCKIG[JJ],LOCKIG-HÅR(LL),07694
LOCKIG[JJ],LOCKIG-HÅR(L+m),07475
LOCKIG[JJ],LOCKIG-HÅR(LL+m),07589
LOGISK[JJ],TÄNKA(L)^FÖLJA,15207
LOKAL[NN],LOKAL(JJ),00719
LOKAL(L)[NN],LOKAL(LL),03222
LOTTERI[NN],LOTTERI(L+7v),05077
LOV[NN],,
LOVA[VB],LOVA(BB),02485
LOVA[VB],LOVA(BB:),02488
LOVANDE[VBS],,
LUFT[NN],LUFT(JJ),00509
LUFTSTRÖMMA[VB],,
LUGN[JJ],LUGN(JJ),05086
LUGN[JJ],LUGN(^),00081
LUGNA@g[G],LUGNA-DIG(J),00682
LUKTA[VB],LUKTA(N),03939
LUKTA-SVETT[VB],,
LUNCH[NN],LUNCH(O),02756
LUNCH[NN],LUNCH(L),03339
LUNCH[NN],LUNCH(L>J),16268
LURA[VB],LURA(Q),15036
LUST[VBS],,
LUSTIG[JJ],LUSTIG(Lb),03490
LYCKA[NN],LYCKA(LL),07634
LYCKAS(ea)[VB],,
LYCKAS(ml)[VB],LYCKAS(J+5b),01581
LYCKAS-INTE[VB],,
LYCKLIG[JJ],LYCKLIG(LL),03214
LYFTA-HANTEL[VB],,
LYSA[VB],LYSA(O),01787
LYSA[VB],LYSA(O+uppr),03189
LYSA[VB],LYSA(OO),07358
LYSA[VB],LYSA(OO+upp),07881
LYSA.VÄG.MULTI[VB],,
LYSSNA[VB],LYSSNA(J),00044
LÄDER[NN],,
LÄGENHET[NN],LÄGENHET(JJvt),08135
LÄGER[NN],LÄGER(JJ),00693
LÄGGA[VB],LÄGGA(J+J),00427
LÄGGA-PÅ-MINNE[VB],LÄGGA-PÅ-MINNET(J+O),15444
LÄGGA-PÅ-MINNE[VB],LÄGGA-PÅ-MINNE(J+Z),15556
LÄGGA-PÅ-MINNE[VB],LÄGGA-PÅ-MINNE(J+H),15557
LÄGGA-SIG[VB],LÄGGA-SIG(J+V),07559
LÄGRE-NIVÅ[NN],,
LÄKARE[NN],,
LÄMNA[VB],LÄMNA(JJvt>J),02056
LÄMNA[VB],LÄMNA(OO+upp),16326
LÄMNA-AV[VB],LÄMNA(OO+ner),01901
LÄN[NN],LÄN(LL),03223
LÄNGE(ea)[AB],LÄNGE(L),01454
LÄNGE(ml)[AB],LÄNGE(arm+L),01420
LÄNGESEDAN[AB],LÄNGESEDAN(J:),05050
LÄNGESEDAN[AB],LÄNGESEDAN(J),00046
LÄNGESEDAN.MYCKET[AB],LÄNGESEDAN(J:),05050
LÄNGRE[AB],LÄNGRE(55+båge),11262
LÄNGST.BORT[AB],(pos),12916
LÄNGST.FRAM[AB],(pos),12916
LÄNGST.HÖGER[AB],(pos),12916
LÄNGST.UPP[AB],(pos),12916
LÄNGTA[VB],LÄNGTA(JJ),10715
LÄNKA[VB],LÄNKA(55),15612
LÄRA-SIG[VB],LÄRA-SIG(A),01260
LÄRA-SIG[VB],LÄRA-SIG(AA),05564
LÄRA-UT[VB],LÄRA-UT(AA),07638
LÄRARE[NN],LÄRARE(AA),01353
LÄSA[VB],LÄSA(JJ),00277
LÄSA[VB],LÄSA(J),05183
LÄSA-UT[VB],,
LÄTT[JJ],LÄTT(JJ),00624
LÄTT[JJ],LÄTT(JJ>G),00631
LÄTTAD[VBS],LÄTTAD(A),15758
LÄTTNAD[VBS],LÄTTNAD(J),00852
LÅDA[NN],LÅDA(JJ),08780
LÅDA[NN],LÅDA(JJ+fram^JJ+mot),08751
LÅG[JJ],LÅG(JJvt),00254
LÅG[JJ],LÅG(Jvt),05179
LÅNA[VB],LÅNA(N),03936
LÅNG[JJ],LÅNG(JJ),13484
LÅNGHÅRIG[VBS],LÅNGHÅRIG(55),05815
LÅNGSAM[VBS],LÅNGSAM(L),02842
LÅNGSINT[VBS],LÅNGSINT(L^GG),14771
LÅNGT[AB],LÅNGT(L),07525
LÅNGT-BORT[AB],LÅNG(L),13464
LÅNGTRADARE[NN],LÅNGTRADARE(S+S),01433
LÅS[NN],LÅS(J+Q),03850
LÅS[NN],LÅS(Q+vrids-vä),08127
LÅS[NN],LÅS(Q+vrids-ner),15769
LÅST[VBS],LÅSA(Q+vrids-vä),02059
LÅST[VBS],LÅSA(J+Q),07453
LÅTA[VB],LÅTA(L),05599
LÅTA-SÄGA[AB],LÅTA-SÄGA(L),02693
LÅTA-VARA[G],ÄSCH(5),08850
LÅTA-VARA[G],ÄSCH(55),15502
LÅTSAS[VB],LÅTSAS(J+N+neråt),03975
LÅTSAS[VB],LÅTSAS(J+N+uppåt),08187
LÅTSAS-FÖRSTÅ[VB],LÅTSAS-FÖRSTÅ(G+G),01971
LÖDA[VB],LÖDA(J+7),15926
LÖN[NN],LÖN(H),04560
LÖN[NN],LÖN(A),08398
LÖRDAG[NN],LÖRDAG(L),02839
LÖSA[VB],LÖSA(OO),01869
LÖSNING[NN],LÖSNING(OO),08014
MADRASS[NN],,
MAGE[NN],MAGE(J),00209
MAGE[NN],MAGE(Jvt),05164
MAGE[NN],MAGE(L),13536
MAKT[NN],MAKT(G),01976
MAKT[NN],MAKT(GG),02276
MAKTKAMP[NN],,
MAMMA[NN],MAMMA(J+bröst),00188
MAMMA[NN],MAMMA(J),05150
MAMMA*PAPPA[NN],FÖRÄLDRAR(J^L),05787
MAN(H)[NN],MAN(5+H),05036
MAN(Jt)[NN],MAN(Jv>A),05870
MARK[NN],MARK(J+Jt>A),05041
MARKNAD[NN],MARKNAD(J),00260
MARS[NN],MARS(VVb),04839
MARS[NN],MARS(Vb),06006
MASKERAD[NN],MASKERAD(77b:),16636
MASKIN[NN],MASKIN(J+J),15574
MASSA[NN],MASSA(G),01909
MAT[NN],MAT(A),01266
MAT[NN],MAT(7a),05565
MATCH[NN],MATCH(55+kontakt),00979
MATCH[NN],MATCH(55),14462
MATCH[NN],MATCH(55+mot),14463
MATCHSPELA[VB],,
MATERIAL[NN],MATERIAL(AA+växel),01358
MATERIAL[NN],MATERIAL(AA),05608
MAX[NN],MAX(J+J),00468
MED[PP],MED(JJ),05055
